time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010452249714	5.59137	-8.26217	-2.7815	-2.47117	-0.936464	lidar	0.167031	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	5.66859	-8.1427	-2.76248	-2.46523	-0.856602	radar	4.7056	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
1477010452359763	5.79972	-8.0352	-2.78401	-2.51118	-0.853091	lidar	0.473197	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	5.89404	-7.92391	-2.76936	-2.51393	-0.789956	radar	3.09231	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	6.02609	-7.82017	-2.78921	-2.55315	-0.784099	lidar	0.443512	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	6.11804	-7.70798	-2.76739	-2.54335	-0.707793	radar	4.56589	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	6.2475	-7.61067	-2.78021	-2.57693	-0.701823	lidar	0.248271	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	6.34895	-7.50572	-2.76134	-2.57174	-0.637565	radar	3.36712	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	6.47417	-7.41529	-2.76584	-2.60059	-0.63175	lidar	0.166496	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	6.58816	-7.333	-2.76932	-2.62335	-0.622384	radar	0.799534	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	6.71743	-7.24438	-2.79206	-2.64665	-0.613629	lidar	0.604729	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	6.79113	-7.11508	-2.7422	-2.58873	-0.480006	radar	15.2931	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	6.91247	-7.02132	-2.74527	-2.60508	-0.470934	lidar	0.420601	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	7.04333	-6.94334	-2.74655	-2.62845	-0.466981	radar	0.0384065	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.17384	-6.84847	-2.75913	-2.64256	-0.45596	lidar	0.530309	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
